2023-07-11 14:48:29.1665|0|DEBUG|Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler|Initializing Razor view compiler with no compiled views. |url: |action: |
2023-07-11 14:48:29.8219|0|DEBUG|Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory|Opening CNG algorithm 'AES' from provider '(null)' with chaining mode CBC. |url: |action: |
2023-07-11 14:48:29.8219|0|DEBUG|Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory|Opening CNG algorithm 'SHA256' from provider '(null)' with HMAC. |url: |action: |
2023-07-11 14:48:29.8219|0|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.KeyRingProvider|Using key {befd1401-1cab-4be0-99bb-8dd3f0db47bc} as the default key. |url: |action: |
2023-07-11 14:48:29.8219|0|DEBUG|Microsoft.AspNetCore.DataProtection.Internal.DataProtectionHostedService|Key ring with default key {befd1401-1cab-4be0-99bb-8dd3f0db47bc} was loaded during application startup. |url: |action: |
2023-07-11 14:48:30.1037|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer|Using development certificate: CN=localhost (Thumbprint: A1B36F3074FFE353434C9B13AE59733DD9B8E436) |url: |action: |
2023-07-11 14:48:30.1634|0|DEBUG|Microsoft.AspNetCore.Hosting.Diagnostics|Loaded hosting startup assembly TUTOR.ERPS.Api |url: |action: |
2023-07-11 14:48:30.1634|0|DEBUG|Microsoft.AspNetCore.Hosting.Diagnostics|Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh |url: |action: |
2023-07-11 14:48:30.1772|0|DEBUG|Microsoft.AspNetCore.Hosting.Diagnostics|Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net |url: |action: |
2023-07-11 14:48:30.2244|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HMS1RBB5NRLE" received FIN. |url: |action: |
2023-07-11 14:48:30.2244|0|DEBUG|Microsoft.Extensions.Hosting.Internal.Host|Hosting started |url: |action: |
2023-07-11 14:48:30.2402|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBB5NRLE" accepted. |url: |action: |
2023-07-11 14:48:30.2402|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBB5NRLE" started. |url: |action: |
2023-07-11 14:48:30.2648|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware|Failed to authenticate HTTPS connection. System.IO.IOException:  Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveBlobAsync[TIOAdapter](TIOAdapter adapter)
   at System.Net.Security.SslStream.ForceAuthenticationAsync[TIOAdapter](TIOAdapter adapter, Boolean receiveFirst, Byte[] reAuthenticationData, Boolean isApm)
   at Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware.OnConnectionAsync(ConnectionContext context)|url: |action: |
2023-07-11 14:48:30.2766|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBB5NRLE" stopped. |url: |action: |
2023-07-11 14:48:30.2766|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HMS1RBB5NRLE" sending FIN because: "The Socket transport's send loop completed gracefully." |url: |action: |
2023-07-11 14:48:30.8436|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBB5NRLF" accepted. |url: |action: |
2023-07-11 14:48:30.8436|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBB5NRLF" started. |url: |action: |
2023-07-11 14:48:30.8551|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBB5NRLG" accepted. |url: |action: |
2023-07-11 14:48:30.8551|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBB5NRLG" started. |url: |action: |
2023-07-11 14:48:30.8829|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HMS1RBB5NRLF" received FIN. |url: |action: |
2023-07-11 14:48:30.9449|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware|Connection 0HMS1RBB5NRLF established using the following protocol: Tls13 |url: |action: |
2023-07-11 14:48:30.9449|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware|Connection 0HMS1RBB5NRLG established using the following protocol: Tls13 |url: |action: |
2023-07-11 14:48:30.9687|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBB5NRLF" is closed. The last processed stream ID was 0. |url: |action: |
2023-07-11 14:48:30.9687|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HMS1RBB5NRLF" sending FIN because: "The client closed the connection." |url: |action: |
2023-07-11 14:48:30.9746|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBB5NRLF" stopped. |url: |action: |
2023-07-11 14:48:31.0901|0|DEBUG|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|Wildcard detected, all requests with hosts will be allowed. |url: https://localhost/swagger|action: |
2023-07-11 14:48:54.6754|0|DEBUG|Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler|Initializing Razor view compiler with no compiled views. |url: |action: |
2023-07-11 14:48:54.7556|0|DEBUG|Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory|Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider |url: |action: |
2023-07-11 14:48:54.9949|0|DEBUG|Microsoft.Extensions.Hosting.Internal.Host|Hosting starting |url: |action: |
2023-07-11 14:48:55.0063|0|DEBUG|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Reading data from file 'C:\Users\j3537\AppData\Local\ASP.NET\DataProtection-Keys\key-184f69a1-ee82-446d-a3df-16f76072f29e.xml'. |url: |action: |
2023-07-11 14:48:55.0218|0|DEBUG|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Reading data from file 'C:\Users\j3537\AppData\Local\ASP.NET\DataProtection-Keys\key-befd1401-1cab-4be0-99bb-8dd3f0db47bc.xml'. |url: |action: |
2023-07-11 14:48:55.0218|0|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|Found key {184f69a1-ee82-446d-a3df-16f76072f29e}. |url: |action: |
2023-07-11 14:48:55.0218|0|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|Found key {befd1401-1cab-4be0-99bb-8dd3f0db47bc}. |url: |action: |
2023-07-11 14:48:55.0405|0|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.DefaultKeyResolver|Considering key {befd1401-1cab-4be0-99bb-8dd3f0db47bc} with expiration date 2023-09-10 02:06:08Z as default key. |url: |action: |
2023-07-11 14:48:55.0405|0|DEBUG|Microsoft.AspNetCore.DataProtection.TypeForwardingActivator|Forwarded activator type request from Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Version=6.0.0.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60 |url: |action: |
2023-07-11 14:48:55.0526|0|DEBUG|Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor|Decrypting secret element using Windows DPAPI. |url: |action: |
2023-07-11 14:48:55.0526|0|DEBUG|Microsoft.AspNetCore.DataProtection.TypeForwardingActivator|Forwarded activator type request from Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Version=6.0.0.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60 |url: |action: |
2023-07-11 14:48:55.0526|0|DEBUG|Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory|Opening CNG algorithm 'AES' from provider '(null)' with chaining mode CBC. |url: |action: |
2023-07-11 14:48:55.0704|0|DEBUG|Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory|Opening CNG algorithm 'SHA256' from provider '(null)' with HMAC. |url: |action: |
2023-07-11 14:48:55.0704|0|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.KeyRingProvider|Using key {befd1401-1cab-4be0-99bb-8dd3f0db47bc} as the default key. |url: |action: |
2023-07-11 14:48:55.0704|0|DEBUG|Microsoft.AspNetCore.DataProtection.Internal.DataProtectionHostedService|Key ring with default key {befd1401-1cab-4be0-99bb-8dd3f0db47bc} was loaded during application startup. |url: |action: |
2023-07-11 14:48:55.5924|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer|Using development certificate: CN=localhost (Thumbprint: A1B36F3074FFE353434C9B13AE59733DD9B8E436) |url: |action: |
2023-07-11 14:48:55.6468|0|DEBUG|Microsoft.AspNetCore.Hosting.Diagnostics|Loaded hosting startup assembly TUTOR.ERPS.Api |url: |action: |
2023-07-11 14:48:55.6618|0|DEBUG|Microsoft.AspNetCore.Hosting.Diagnostics|Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh |url: |action: |
2023-07-11 14:48:55.6618|0|DEBUG|Microsoft.AspNetCore.Hosting.Diagnostics|Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net |url: |action: |
2023-07-11 14:48:55.6942|0|DEBUG|Microsoft.Extensions.Hosting.Internal.Host|Hosting started |url: |action: |
2023-07-11 14:48:55.6942|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBIOIDJS" accepted. |url: |action: |
2023-07-11 14:48:55.6942|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBIOIDJS" started. |url: |action: |
2023-07-11 14:48:55.7165|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HMS1RBIOIDJS" received FIN. |url: |action: |
2023-07-11 14:48:55.7309|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware|Failed to authenticate HTTPS connection. System.IO.IOException:  Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveBlobAsync[TIOAdapter](TIOAdapter adapter)
   at System.Net.Security.SslStream.ForceAuthenticationAsync[TIOAdapter](TIOAdapter adapter, Boolean receiveFirst, Byte[] reAuthenticationData, Boolean isApm)
   at Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware.OnConnectionAsync(ConnectionContext context)|url: |action: |
2023-07-11 14:48:55.7789|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBIOIDJS" stopped. |url: |action: |
2023-07-11 14:48:55.7870|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HMS1RBIOIDJS" sending FIN because: "The Socket transport's send loop completed gracefully." |url: |action: |
2023-07-11 14:48:56.1919|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBIOIDJT" accepted. |url: |action: |
2023-07-11 14:48:56.1936|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBIOIDJT" started. |url: |action: |
2023-07-11 14:48:56.2475|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware|Connection 0HMS1RBIOIDJT established using the following protocol: Tls13 |url: |action: |
2023-07-11 14:48:56.3711|0|DEBUG|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|Wildcard detected, all requests with hosts will be allowed. |url: https://localhost/swagger|action: |
2023-07-11 14:48:56.6557|0|DEBUG|Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware|Response markup is scheduled to include browser refresh script injection. |url: https://localhost/swagger/index.html|action: |
2023-07-11 14:48:56.8960|0|DEBUG|Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware|Response markup was updated to include browser refresh script injection. |url: https://localhost/swagger/index.html|action: |
2023-07-11 14:49:01.4818|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HMS1RBIOIDJT" received FIN. |url: |action: |
2023-07-11 14:49:01.4965|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" is closed. The last processed stream ID was 17. |url: |action: |
2023-07-11 14:49:01.4965|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HMS1RBIOIDJT" sending FIN because: "The client closed the connection." |url: |action: |
2023-07-11 14:49:01.5140|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBIOIDJT" stopped. |url: |action: |
2023-07-11 14:49:43.2188|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBIOIDJU" accepted. |url: |action: |
2023-07-11 14:49:43.2319|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBIOIDJU" started. |url: |action: |
2023-07-11 14:49:43.2584|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware|Connection 0HMS1RBIOIDJU established using the following protocol: Tls13 |url: |action: |
2023-07-11 14:49:43.2890|0|DEBUG|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|The request path  does not match the path filter |url: https://localhost/WeatherForecast|action: |
2023-07-11 14:49:43.2890|0|DEBUG|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|The request path  does not match the path filter |url: https://localhost/WeatherForecast|action: |
2023-07-11 14:49:43.2890|0|DEBUG|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|The request path /WeatherForecast does not match a supported file type |url: https://localhost/WeatherForecast|action: |
2023-07-11 14:49:43.3773|0|DEBUG|Microsoft.AspNetCore.Routing.Matching.DfaMatcher|1 candidate(s) found for the request path '/WeatherForecast' |url: https://localhost/WeatherForecast|action: |
2023-07-11 14:49:43.3877|0|DEBUG|Microsoft.AspNetCore.Routing.Matching.DfaMatcher|Endpoint 'TUTOR.ERPS.Controllers.WeatherForecastController.Get (TUTOR.ERPS.Api)' with route pattern 'WeatherForecast' is valid for the request path '/WeatherForecast' |url: https://localhost/WeatherForecast|action: |
2023-07-11 14:49:43.3877|0|DEBUG|Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware|Request matched endpoint 'TUTOR.ERPS.Controllers.WeatherForecastController.Get (TUTOR.ERPS.Api)' |url: https://localhost/WeatherForecast|action: Get|
2023-07-11 14:49:43.4715|0|DEBUG|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Execution plan of authorization filters (in the following order): None |url: https://localhost/WeatherForecast|action: Get|
2023-07-11 14:49:43.4715|0|DEBUG|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Execution plan of resource filters (in the following order): Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter |url: https://localhost/WeatherForecast|action: Get|
2023-07-11 14:49:43.4737|0|DEBUG|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Execution plan of action filters (in the following order): Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter (Order: -3000), Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter (Order: -2000) |url: https://localhost/WeatherForecast|action: Get|
2023-07-11 14:49:43.4737|0|DEBUG|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Execution plan of exception filters (in the following order): None |url: https://localhost/WeatherForecast|action: Get|
2023-07-11 14:49:43.4737|0|DEBUG|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Execution plan of result filters (in the following order): Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter, Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter (Order: -2000) |url: https://localhost/WeatherForecast|action: Get|
2023-07-11 14:49:43.4737|0|DEBUG|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Executing controller factory for controller TUTOR.ERPS.Controllers.WeatherForecastController (TUTOR.ERPS.Api) |url: https://localhost/WeatherForecast|action: Get|
2023-07-11 14:49:43.4895|0|DEBUG|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Executed controller factory for controller TUTOR.ERPS.Controllers.WeatherForecastController (TUTOR.ERPS.Api) |url: https://localhost/WeatherForecast|action: Get|
2023-07-11 14:49:43.5374|0|DEBUG|Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector|List of registered output formatters, in the following order: Microsoft.AspNetCore.Mvc.Formatters.HttpNoContentOutputFormatter, Microsoft.AspNetCore.Mvc.Formatters.StringOutputFormatter, Microsoft.AspNetCore.Mvc.Formatters.StreamOutputFormatter, Microsoft.AspNetCore.Mvc.Formatters.SystemTextJsonOutputFormatter |url: https://localhost/WeatherForecast|action: Get|
2023-07-11 14:49:43.5374|0|DEBUG|Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector|Attempting to select an output formatter based on Accept header 'text/plain'. |url: https://localhost/WeatherForecast|action: Get|
2023-07-11 14:49:43.5374|0|DEBUG|Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector|Could not find an output formatter based on content negotiation. Accepted types were (text/plain) |url: https://localhost/WeatherForecast|action: Get|
2023-07-11 14:49:43.5374|0|DEBUG|Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector|Attempting to select an output formatter without using a content type as no explicit content types were specified for the response. |url: https://localhost/WeatherForecast|action: Get|
2023-07-11 14:49:43.5374|0|DEBUG|Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector|Attempting to select the first formatter in the output formatters list which can write the result. |url: https://localhost/WeatherForecast|action: Get|
2023-07-11 14:49:43.5523|0|DEBUG|Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector|Selected output formatter 'Microsoft.AspNetCore.Mvc.Formatters.SystemTextJsonOutputFormatter' and content type 'application/json' to write the response. |url: https://localhost/WeatherForecast|action: Get|
2023-07-11 14:49:46.5489|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HMS1RBIOIDJU" received FIN. |url: |action: |
2023-07-11 14:49:46.5558|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJU" is closed. The last processed stream ID was 1. |url: |action: |
2023-07-11 14:49:46.5996|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HMS1RBIOIDJU" sending FIN because: "The client closed the connection." |url: |action: |
2023-07-11 14:49:46.5996|0|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMS1RBIOIDJU" stopped. |url: |action: |
